id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-3DNRdudZ2SstnDCVKFdXxG,classical,Classical,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",69,0.151,0.00527,sad_low,3DNRdudZ2SstnDCVKFdXxG,9EGdL_P2iXE,https://www.youtube.com/watch?v=9EGdL_P2iXE,https://www.youtube.com/results?search_query=Ludwig%20van%20Beethoven%2C%20Paul%20Lewis%20Sonata%20No.%2014%20%22Moonlight%22%20in%20C-Sharp%20Minor%22%2C%20Op.%2027%20No.%202%3A%20I.%20Adagio%20sostenuto%20official%20audio
spotify-2m2GJpBjQNNphaCgBeoj7R,classical,Classical,Fracture,Stephan Moccio,69,0.126,0.0186,sad_low,2m2GJpBjQNNphaCgBeoj7R,hYH80WGPet8,https://www.youtube.com/watch?v=hYH80WGPet8,https://www.youtube.com/results?search_query=Stephan%20Moccio%20Fracture%20official%20audio
spotify-5u5aVJKjSMJr4zesMPz7bL,classical,Classical,"Clair de Lune, L. 32","Claude Debussy, Martin Jones",68,0.0397,0.00532,sad_low,5u5aVJKjSMJr4zesMPz7bL,X-Xxqt6Xdio,https://www.youtube.com/watch?v=X-Xxqt6Xdio,https://www.youtube.com/results?search_query=Claude%20Debussy%2C%20Martin%20Jones%20Clair%20de%20Lune%2C%20L.%2032%20official%20audio
spotify-1VNvsvEsUpuUCbHpVop1vo,classical,Classical,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","Frédéric Chopin, Daniel Barenboim",67,0.0929,0.00919,sad_low,1VNvsvEsUpuUCbHpVop1vo,bVeOdm-29pU,https://www.youtube.com/watch?v=bVeOdm-29pU,https://www.youtube.com/results?search_query=Fr%C3%A9d%C3%A9ric%20Chopin%2C%20Daniel%20Barenboim%20Nocturne%20No.%202%20in%20E-Flat%20Major%2C%20Op.%209%20No.%202%20official%20audio
spotify-4pTkDIlpFNoeWbahu8pVXW,electronic,Electronic,Shootout,"Izzamuzzic, Julien Marchal",78,0.553,0.578,happy,4pTkDIlpFNoeWbahu8pVXW,eIoZxhBKA7c,https://www.youtube.com/watch?v=eIoZxhBKA7c,https://www.youtube.com/results?search_query=Izzamuzzic%2C%20Julien%20Marchal%20Shootout%20official%20audio
spotify-3r44Otr6SVUja3SYsCuhVY,electronic,Electronic,Shootout (Sped Up),"Izzamuzzic, Julien Marchal",76,0.768,0.605,happy,3r44Otr6SVUja3SYsCuhVY,5SiMz9oq9Ik,https://www.youtube.com/watch?v=5SiMz9oq9Ik,https://www.youtube.com/results?search_query=Izzamuzzic%2C%20Julien%20Marchal%20Shootout%20(Sped%20Up)%20official%20audio
spotify-4IsHMzDbRE8q5Z4ALsQj3o,electronic,Electronic,Sky and Sand,"Paul Kalkbrenner, Fritz Kalkbrenner",68,0.526,0.329,relaxed,4IsHMzDbRE8q5Z4ALsQj3o,8ybFb_wKlvQ,https://www.youtube.com/watch?v=8ybFb_wKlvQ,https://www.youtube.com/results?search_query=Paul%20Kalkbrenner%2C%20Fritz%20Kalkbrenner%20Sky%20and%20Sand%20official%20audio
spotify-2MddqD0MryxIAKS03raHsz,electronic,Electronic,You Wish,Nightmares On Wax,65,0.421,0.244,sad_low,2MddqD0MryxIAKS03raHsz,TwDOa-lvizM,https://www.youtube.com/watch?v=TwDOa-lvizM,https://www.youtube.com/results?search_query=Nightmares%20On%20Wax%20You%20Wish%20official%20audio
spotify-2MZSXhq4XDJWu6coGoXX1V,electronic,Electronic,Avril 14th,Aphex Twin,64,0.37,0.0259,sad_low,2MZSXhq4XDJWu6coGoXX1V,uxTdTaNIUxo,https://www.youtube.com/watch?v=uxTdTaNIUxo,https://www.youtube.com/results?search_query=Aphex%20Twin%20Avril%2014th%20official%20audio
spotify-0ytvsZOerGzUWfHXVT2Sgy,chill,Chill,Eternal Youth,RŮDE,71,0.0454,0.487,sad_low,0ytvsZOerGzUWfHXVT2Sgy,W6hasdx4a1I,https://www.youtube.com/watch?v=W6hasdx4a1I,https://www.youtube.com/results?search_query=R%C5%AEDE%20Eternal%20Youth%20official%20audio
spotify-6IaSUc4wx1rzo8lGs4KOot,chill,Chill,School Rooftop - Slowed Down Version,"Hisohkah, WMD",68,0.231,0.255,sad_low,6IaSUc4wx1rzo8lGs4KOot,UCZmjIVNByU,https://www.youtube.com/watch?v=UCZmjIVNByU,https://www.youtube.com/results?search_query=Hisohkah%2C%20WMD%20School%20Rooftop%20-%20Slowed%20Down%20Version%20official%20audio
